level,name,path,branchId,href
"3","Front door panel & Glass","Body, car glass > Doors, glass-lifters, handles, locks > Front door panel & Glass","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RZM056YzFOMFnwn5CTOTk1","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RZM056YzFOMFnwn5CTOTk1"
"3","Lock cylinder set","Body, car glass > Doors, glass-lifters, handles, locks > Lock cylinder set","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RZM056Y3pNa03wn5CTOTk1","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RZM056Y3pNa03wn5CTOTk1"
"3","Armrest & Visor","Body, car glass > Doors, glass-lifters, handles, locks > Armrest & Visor","MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RjME16VTJPQ0Hwn5CTOTk1","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXo4Si1hZ1RjME16VTJPQ0Hwn5CTOTk1"
"3","Switch & Relay & Computer","Body, car glass > Doors, glass-lifters, handles, locks > Switch & Relay & Computer","MPCfm7BNaVB3bjVxQU1EQTA4Si1hZ1RnMFJUQXlNVVXwn5CTOTk1","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQTA4Si1hZ1RnMFJUQXlNVVXwn5CTOTk1"
"2","Car glass","Body, car glass > Car glass","791","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=791"
"3","Windshield","Body, car glass > Car glass > Windshield","960","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=960"
"3","Side glass","Body, car glass > Car glass > Side glass","986","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=986"
"2","Passenger and luggage compartments","Body, car glass > Passenger and luggage compartments","983","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=983"
"3","Dashboard","Body, car glass > Passenger and luggage compartments > Dashboard","1004","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1004"
"4","Glovebox","Body, car glass > Passenger and luggage compartments > Dashboard > Glovebox","1005","#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1005"
