id,parent_id,level,name,path,branchId,href
124,122.0,2,"Front, rear subframe","Suspension, chassis > Front, rear subframe",1023,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1023
125,122.0,2,"Steering knuckle, hub, trunnion, components","Suspension, chassis > Steering knuckle, hub, trunnion, components",970,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=970
126,122.0,2,"Suspension arms, tie rods, components","Suspension, chassis > Suspension arms, tie rods, components",958,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=958
127,,1,"Transmission, gearbox","Transmission, gearbox",553,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=553
128,127.0,2,"Transmission sensors, units, valves, controllers","Transmission, gearbox > Transmission sensors, units, valves, controllers",1057,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1057
129,127.0,2,"A/T, components","Transmission, gearbox > A/T, components",953,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=953
130,129.0,3,Automatic transmission,"Transmission, gearbox > A/T, components > Automatic transmission",1054,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1054
131,130.0,4,"Torque converter, front oil pump & Chain (atm)","Transmission, gearbox > A/T, components > Automatic transmission > Torque converter, front oil pump & Chain (atm)",MPCfm7BNaVB3bjVxQU1EQXk4Si1hZ1RNMU9EYzBOVUXwn5CTMTA1NA,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=MPCfm7BNaVB3bjVxQU1EQXk4Si1hZ1RNMU9EYzBOVUXwn5CTMTA1NA
132,129.0,3,Automatic transmission shaft,"Transmission, gearbox > A/T, components > Automatic transmission shaft",1060,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1060
133,129.0,3,"Automatic transmission bearing, slide bushing","Transmission, gearbox > A/T, components > Automatic transmission bearing, slide bushing",1062,#/schemas?catalogId=toyota&carId=e7d85f26096e62e1043384648ec63342&criteria=62%2aJTMDF9EV5DD037942%21c16f6b53%24540W%7DZ07%5E4%3CFA40%3E1F7&q=JTMDF9EV5DD037942&branchId=1062
